customer_id,customer_name,segment,region,state,city,analysis_date,first_order_date,last_order_date,days_since_last_order,expected_reorder_days,inactivity_ratio,total_orders,lifetime_sales,lifetime_profit,avg_order_value,profit_margin_pct,customer_segment,orders_last_90_days,sales_last_90_days,sales_previous_90_days,sales_change_pct,behavior_trend,churn_risk_score,churn_risk_band,inactivity_status,churn_flag,declining_behavior_flag,recommended_retention_action,retention_priority_score,retention_priority_rank,priority_group
RB-19360,Raymond Buch,Consumer,East,Ohio,Cincinnati,2017-12-30,2016-04-01,2017-09-25,96,48.0,2.0,6,15117.34,6976.1,2519.56,46.15,Loyal Customer,0,0.0,150.8,-100.0,Recently Inactive,80,Critical Risk,Inactive,1,1,Immediate win-back outreach,88.91,1,Top 25
HW-14935,Helen Wasserman,Corporate,Central,Illinois,Chicago,2017-12-30,2015-09-27,2017-09-04,117,56.0,2.09,8,9300.25,2164.16,1162.53,23.27,Loyal Customer,0,0.0,3189.91,-100.0,Recently Inactive,80,Critical Risk,Inactive,1,1,Immediate win-back outreach,87.81,2,Top 25
LA-16780,Laura Armstrong,Corporate,Central,Texas,Austin,2017-12-30,2014-04-29,2017-07-29,154,71.0,2.17,11,8673.22,2059.12,788.47,23.74,Loyal Customer,0,0.0,127.69,-100.0,Recently Inactive,80,Critical Risk,Inactive,1,1,Immediate win-back outreach,87.54,3,Top 25
EH-13765,Edward Hooks,Corporate,East,New York,Watertown,2017-12-30,2014-04-12,2017-08-17,135,59.0,2.29,12,10310.88,1393.52,859.24,13.51,Loyal Customer,0,0.0,1358.48,-100.0,Recently Inactive,80,Critical Risk,Inactive,1,1,Immediate win-back outreach,87.32,4,Top 25
TC-20980,Tamara Chand,Corporate,West,Washington,Seattle,2017-12-30,2014-11-07,2016-11-26,399,102.0,3.91,5,19052.22,8981.32,3810.44,47.14,Repeat Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,86.21,5,Top 25
SC-20095,Sanjit Chand,Consumer,East,Massachusetts,Quincy,2017-12-30,2014-02-12,2017-01-15,349,76.0,4.59,9,14142.33,5757.41,1571.37,40.71,Loyal Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,85.99,6,Top 25
BS-11365,Bill Shonely,Corporate,Central,Oklahoma,Oklahoma City,2017-12-30,2014-05-04,2016-06-20,558,146.0,3.82,5,10501.65,2616.06,2100.33,24.91,Repeat Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,85.32,7,Top 25
NW-18400,Natalie Webber,Consumer,Central,Iowa,Waterloo,2017-12-30,2014-06-21,2017-07-11,172,80.0,2.15,7,7234.01,1023.12,1033.43,14.14,Loyal Customer,0,0.0,30.32,-100.0,Recently Inactive,80,Critical Risk,Inactive,1,1,Immediate win-back outreach,85.22,8,Top 25
CL-12565,Clay Ludtke,Consumer,Central,Oklahoma,Tulsa,2017-12-30,2014-03-04,2017-03-21,284,62.0,4.58,12,10880.55,1933.78,906.71,17.77,Loyal Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,85.17,9,Top 25
AM-10705,Anne McFarland,Consumer,South,Virginia,Salem,2017-12-30,2014-10-31,2017-07-21,162,71.0,2.28,8,5664.02,1085.73,708.0,19.17,Loyal Customer,0,0.0,951.98,-100.0,Recently Inactive,80,Critical Risk,Inactive,1,1,Immediate win-back outreach,83.97,10,Top 25
CJ-12010,Caroline Jumper,Consumer,West,California,Huntington Beach,2017-12-30,2016-03-10,2017-06-24,189,37.0,5.11,8,11164.97,858.74,1395.62,7.69,Loyal Customer,0,0.0,0.0,,Stable,75,High Risk,Churned,1,0,Targeted retention offer,83.64,11,Top 25
